15346.2088,153.79119999999966,1.0
15767.203400000004,267.20340000000397,2.0
16430.909300000014,930.9093000000139,3.0
15442.131180000011,57.86881999998877,0.0
16081.127289999991,581.1272899999913,3.0
15574.505500000005,74.50550000000476,0.0
15682.7804,182.78039999999964,1.0
16896.67624000001,1396.6762400000116,4.0
15960.78517000001,460.7851700000101,2.0
15860.730299999987,360.7302999999865,2.0
15989.373600000017,489.3736000000172,2.0
18262.11960000003,2762.119600000031,4.0
16563.222899999993,1063.2228999999934,4.0
16273.507799999994,773.507799999994,3.0
16469.588300000003,969.5883000000031,3.0
16603.62739999996,1103.6273999999612,4.0
16620.063899999994,1120.0638999999937,4.0
17167.50270000002,1667.502700000019,4.0
16806.063299999987,1306.063299999987,4.0
15831.511299999996,331.5112999999965,2.0
16217.5717,717.5717000000004,3.0
17124.886700000003,1624.8867000000027,4.0
17040.133299999998,1540.1332999999977,4.0
16780.607299999978,1280.6072999999778,4.0
17917.85709999999,2417.85709999999,4.0
16644.087000000007,1144.0870000000068,4.0
17351.564500000004,1851.564500000004,4.0
16720.32130000001,1220.3213000000105,4.0
18511.39390000002,3011.393900000021,4.0
17874.329099999988,2374.329099999988,4.0
17832.05739999999,2332.0573999999906,4.0
16101.912900000014,601.9129000000139,3.0
18341.15924,2841.159240000001,4.0
16173.72160000001,673.7216000000099,3.0
16089.979899999995,589.9798999999948,3.0
16892.45939999998,1392.4593999999815,4.0
17060.047899999998,1560.0478999999978,4.0
18976.76309999999,3476.763099999989,4.0
16006.266289999994,506.2662899999941,3.0
16117.034319999999,617.0343199999988,3.0
15135.759880000009,364.2401199999913,2.0
15819.019149999982,319.0191499999819,2.0
15398.568649999996,101.43135000000439,1.0
15578.37581,78.37580999999955,0.0
19586.408700000015,4086.4087000000145,4.0
16150.119600000013,650.1196000000127,3.0
17989.620199999994,2489.620199999994,4.0
16942.8582,1442.8581999999988,4.0
16684.866799999985,1184.8667999999852,4.0
14115.09115,1384.9088499999998,4.0
14949.507643999987,550.4923560000134,3.0
18400.707160000024,2900.7071600000236,4.0
14292.98824000001,1207.0117599999903,4.0
14400.779137000003,1099.2208629999968,4.0
14296.321809999996,1203.6781900000042,4.0
14037.422034000012,1462.577965999988,4.0
16733.03595000001,1233.0359500000086,4.0
13347.782699999982,2152.2173000000184,4.0
14345.568379999988,1154.4316200000121,4.0
15449.792030000002,50.20796999999766,0.0
15301.602879999997,198.39712000000327,1.0
18134.65205999999,2634.6520599999894,4.0
10856.901709999998,4643.098290000002,4.0
14355.704789999987,1144.295210000013,4.0
17538.71088,2038.7108799999987,4.0
-7301.599360000048,22801.599360000047,4.0
15389.105669999995,110.89433000000463,1.0
16991.933479999996,1491.933479999996,4.0
16565.091003000005,1065.091003000005,4.0
15724.034839000005,224.03483900000538,2.0
16437.43900000001,937.4390000000094,3.0
16035.117839999984,535.1178399999844,3.0
18536.012599999987,3036.0125999999873,4.0
15646.529300000033,146.5293000000329,1.0
16384.071,884.0709999999999,3.0
17503.623700000007,2003.6237000000074,4.0
15921.830400000004,421.8304000000044,2.0
15839.153999999986,339.1539999999859,2.0
17215.83049000002,1715.8304900000185,4.0
15945.7797,445.77969999999914,2.0
17554.854200000005,2054.854200000005,4.0
15764.304900000005,264.30490000000464,2.0
18543.7115,3043.7115000000013,4.0
15280.037099999994,219.9629000000059,2.0
16066.097599999977,566.0975999999773,3.0
15469.311999999982,30.68800000001829,0.0
15346.2088,153.79119999999966,1.0
15767.203400000004,267.20340000000397,2.0
16430.909300000014,930.9093000000139,3.0
15442.131180000011,57.86881999998877,0.0
16081.127289999991,581.1272899999913,3.0
15574.505500000005,74.50550000000476,0.0
15682.7804,182.78039999999964,1.0
16896.67624000001,1396.6762400000116,4.0
15960.78517000001,460.7851700000101,2.0
15860.730299999987,360.7302999999865,2.0
15989.373600000017,489.3736000000172,2.0
18262.11960000003,2762.119600000031,4.0
16563.222899999993,1063.2228999999934,4.0
16273.507799999994,773.507799999994,3.0
16469.588300000003,969.5883000000031,3.0
16603.62739999996,1103.6273999999612,4.0
16620.063899999994,1120.0638999999937,4.0
17167.50270000002,1667.502700000019,4.0
16806.063299999987,1306.063299999987,4.0
15831.511299999996,331.5112999999965,2.0
16217.5717,717.5717000000004,3.0
17124.886700000003,1624.8867000000027,4.0
17040.133299999998,1540.1332999999977,4.0
16780.607299999978,1280.6072999999778,4.0
17917.85709999999,2417.85709999999,4.0
16644.087000000007,1144.0870000000068,4.0
17351.564500000004,1851.564500000004,4.0
16720.32130000001,1220.3213000000105,4.0
18511.39390000002,3011.393900000021,4.0
17874.329099999988,2374.329099999988,4.0
17832.05739999999,2332.0573999999906,4.0
16101.912900000014,601.9129000000139,3.0
18341.15924,2841.159240000001,4.0
16173.72160000001,673.7216000000099,3.0
16089.979899999995,589.9798999999948,3.0
16892.45939999998,1392.4593999999815,4.0
17060.047899999998,1560.0478999999978,4.0
